theme,relevance,year,first_author,n_authors,title,venue,volume,pages,citations,doi,url,supports,abstract_verified
1-measurement,primary,2021,Vikas R. Patil,4,Experimental testing of a solar air cavity-receiver with reticulated porous ceramic absorbers for thermal processing at above 1000 °C,Solar Energy,214,72-85,57,10.1016/j.solener.2020.11.045,https://doi.org/10.1016/j.solener.2020.11.045,5 kW RPC cavity receiver; performance characterised by thermal efficiency and air outlet temperature only,yes
1-measurement,primary,2024,Vikas R. Patil,2,A Solar Air Receiver With Porous Ceramic Structures for Process Heat at Above 1000 °C—Heat Transfer Analysis,Journal of Solar Energy Engineering,147,,10,10.1115/1.4066499,https://doi.org/10.1115/1.4066499,Heat-transfer analysis of the same >1000 C RPC receiver class; outlet-gas/efficiency observables,yes
1-measurement,primary,2023,Robin Tim Broeske,7,Experimentally assessed efficiency improvement of innovative 3D-shaped structures as volumetric absorbers,Renewable Energy,218,119220,5,10.1016/j.renene.2023.119220,https://doi.org/10.1016/j.renene.2023.119220,16-module Synlight matrix vs HiTRec SiSiC honeycomb; TCs behind each module for air exit T + IR surface + spectrometer; efficiency via radiative balance BECAUSE per-absorber mass flow was unmeasurable,full text (PDF in literature/)
1-measurement,primary,2024,Fritz Zaversky,7,A Cost-Effective Open Volumetric Air Receiver Design Based on Free Floating Stackable Absorber Modules,SolarPACES Conference Proceedings,1,,0,10.52825/solarpaces.v1i.713,https://doi.org/10.52825/solarpaces.v1i.713,CAPTure OVAR validated at 15 kW simulator and 300 kW tower via absorber-module outlet temperature,yes
1-measurement,primary,2025,D. D’Souza,4,Experimental assessment of different compact flow channel geometries on pressurised gas solar receivers,Applied Thermal Engineering,266,125634,2,10.1016/j.applthermaleng.2025.125634,https://doi.org/10.1016/j.applthermaleng.2025.125634,"Pressurised gas receiver channels, high-flux simulator with calorimetric setup (enthalpy-based outlet)",yes
1-measurement,primary,2021,Carlos E. Arreola-Ramos,9,Experimental Evaluation and Modeling of Air Heating in a Ceramic Foam Volumetric Absorber by Effective Parameters,Energies,14,2506,0,10.3390/en14092506,https://doi.org/10.3390/en14092506,Ceramic foam absorbers characterised through fitted effective parameters,yes
1-measurement,primary,2024,Kevin Iding,4,A Real-Time Capable Simulation of Open Volumetric Receiver Surface Temperatures With Spatially High Resolution,SolarPACES Conference Proceedings,1,,0,10.52825/solarpaces.v1i.885,https://doi.org/10.52825/solarpaces.v1i.885,"Julich OVR, 1080 cups, cup split into heating+transport zone; validated on front T (rmse 6.78 K) and air T behind cup (rmse 7.51 K); whole receiver needs parameter optimisation",full text (PDF in literature/)
1-transient,primary,2023,Sonika Sharma,2,Dynamic Performance Characteristics of a Porous Volumetric Solar Receiver Under Transient Flux Conditions,Journal of Solar Energy Engineering,145,,3,10.1115/1.4056622,https://doi.org/10.1115/1.4056622,"Coupled transient model: solid+fluid fields, outlet T, dP through start-up, shut-down, clear sky, cloud passage - computational",full text (PDF in literature/)
1-transient,primary,2024,Shen Du,4,Transient response performances and control strategy of porous volumetric solar receivers with different heat transfer fluids,Solar Energy,283,112984,1,10.1016/j.solener.2024.112984,https://doi.org/10.1016/j.solener.2024.112984,"MCRT + pore-scale + PID; time constants 7.0 s air vs 45.9 s molten salt, +129% as mdot falls 3x - capacitance predicted, not measured",full text (PDF in literature/)
1-transient,primary,2022,Vishwa Deepak Kumar,5,A Multi-Zone Unsteady Heat Transfer Model for an Open Volumetric Air Receiver: A Step Towards Scale-Up and Design Optimization,International Journal of Heat and Mass Transfer,191,122747,4,10.1016/j.ijheatmasstransfer.2022.122747,https://doi.org/10.1016/j.ijheatmasstransfer.2022.122747,"Multi-zone unsteady OVAR model (absorbers, casing, return air), predictive capability within +-7%; multi-zone rather than single-stream",full text (PDF in literature/)
1-transient,supporting,2020,Gurveer Singh,5,One-Dimensional Zonal Model for the Unsteady Heat Transfer Analysis in an Open Volumetric Air Receiver,Journal of Thermal Science and Engineering Applications,13,,2,10.1115/1.4047163,https://doi.org/10.1115/1.4047163,One-dimensional zonal unsteady OVAR model,yes
1-transient,supporting,2026,Javier Baigorri,6,High-Temperature Open Volumetric Air Receiver Integrated with Compressed Air Energy Storage: Design of Experimental Prototype,Applied Sciences,16,6633,0,10.3390/app16136633,https://doi.org/10.3390/app16136633,"OVAR+CAES prototype design; transient simulations, passive mass-flow regulation under non-uniform flux",yes
1-identifiability,primary,2026,Zeyang Song,4,Data integrity resolving gas-solid interfacial heat transfer coefficient in porous media under low Reynolds number,International Journal of Heat and Mass Transfer,255,127803,2,10.1016/j.ijheatmasstransfer.2025.127803,https://doi.org/10.1016/j.ijheatmasstransfer.2025.127803,"Resolves h_sg from SIMULTANEOUS solid+gas thermocouple pairs ('data integrity'); Nu=0.001Re^1.66Pr^1/3, r2=0.93, 13<=Re<=133, 54 tests; Table 1 compiles 8 porous-media correlations at Re<=O(100) with exponents 0.2-1.97 - brackets the manuscript's Re^1.443",full text (PDF in literature/)
1-identifiability,primary,2020,Siqi Xu,4,Experimental Study of the Convective Heat Transfer and Local Thermal Equilibrium in Ceramic Foam,Processes,8,1490,10,10.3390/pr8111490,https://doi.org/10.3390/pr8111490,"Single-blow transient identification of volumetric HTC in ceramic foam, ex situ, 283-323 K",yes
1-identifiability,supporting,2026,Anna Mareike Kostelecky,6,Local Thermal Non-equilibrium Models in Porous Media: A Comparative Study of Conduction Effects,Transport in Porous Media,153,,5,10.1007/s11242-026-02305-5,https://doi.org/10.1007/s11242-026-02305-5,Three continuum LTNE models compared pore-to-REV; conduction treatment changes LTNE predictions,yes
1-monolith,supporting,2024,Douglas E. Pérez-Vilela,2,Modeling the dynamic operation of a monolithic CO2 methanation reactor. Evaluation of the response to H2 load fluctuation,International Journal of Hydrogen Energy,77,769-783,11,10.1016/j.ijhydene.2024.06.148,https://doi.org/10.1016/j.ijhydene.2024.06.148,Dynamic operation of a monolithic reactor under load fluctuation - transient monolith work sits in catalysis,title/snippet only
1-monolith,supporting,2023,Gonzalo Garretón,3,Transition of the Flow Regime Inside of Monolith Microchannel Reactors Fed with Highly Turbulent Flow,Catalysts,13,938,5,10.3390/catal13060938,https://doi.org/10.3390/catal13060938,Flow regime transition inside monolith microchannels,yes
1-context,supporting,2024,Jorge E.P. Navalho,3,An investigation on the thermal performance of volumetric solar absorbers with lateral wall power losses,Solar Energy,282,112937,5,10.1016/j.solener.2024.112937,https://doi.org/10.1016/j.solener.2024.112937,Lateral wall losses in volumetric absorbers; non-insulated housing effects,yes
1-context,supporting,2022,M. Casanova,6,Improvements in the measurement of high solar irradiance on a 300 kWth volumetric receiver,Renewable Energy,201,441-449,10,10.1016/j.renene.2022.10.080,https://doi.org/10.1016/j.renene.2022.10.080,Improved high-flux irradiance measurement on a 300 kWth volumetric receiver (relevant to flux-map closure),title/snippet only
1-context,supporting,2023,Tao Li,5,Analysis on the Effects of Different Receiver Structures and Porous Parameters on the Volumetric Effects and Heat Transfer Performance of Porous Volumetric Solar Receiver,International Journal of Energy Research,2023,1-13,6,10.1155/2023/3289428,https://doi.org/10.1155/2023/3289428,Receiver structure and porous parameters vs volumetric effect,yes
1-context,supporting,2021,Cyprien Heisel,6,Digital design and 3D printing of innovative SiC architectures for high temperature volumetric solar receivers,Solar Energy Materials and Solar Cells,232,111336,29,10.1016/j.solmat.2021.111336,https://doi.org/10.1016/j.solmat.2021.111336,3D-printed SiC absorber architectures for high-temperature volumetric receivers,title/snippet only
1-context,supporting,2023,N.A. Cisneros-Cárdenas,7,Thermal experimental study of a volumetric receiver-reactor using a Mini-Solar furnace,Applied Thermal Engineering,234,121276,6,10.1016/j.applthermaleng.2023.121276,https://doi.org/10.1016/j.applthermaleng.2023.121276,Volumetric receiver-reactor tested in a mini solar furnace,title/snippet only
2-maldistribution,primary,2022,Robin Tim Broeske,3,Multi-dimensional numerical analysis of flow instabilities in 3D-shaped honeycomb absorbers,Solar Energy,247,86-95,3,10.1016/j.solener.2022.10.007,https://doi.org/10.1016/j.solener.2022.10.007,"Two-stage flow-stability methodology for volumetric absorbers: 1D LTNE identifies critical dp, discrete 3D CFD tests perturbations; instability implies local overheating",title/snippet only
2-maldistribution,primary,2025,Pratheeba Chanda Nagarajan,3,A reduced order pseudochannel model accounting for flow maldistribution in automotive catalysis,Scientific Reports,15,,1,10.1038/s41598-025-89756-w,https://doi.org/10.1038/s41598-025-89756-w,Reduced-order PSEUDOCHANNEL model accounting for flow maldistribution; single-channel models inadequate in realistic geometries,yes
2-maldistribution,primary,2023,Consuelo Reinao,2,A Model for the Flow Distribution in Dual Cell Density Monoliths,Processes,11,827,11,10.3390/pr11030827,https://doi.org/10.3390/pr11030827,Model for flow distribution in dual-cell-density monoliths,yes
2-maldistribution,primary,2025,Pablo Díaz,3,A predictive model for flow distribution in dual-zone packed bed reactors,Chemical Engineering Journal,515,162962,4,10.1016/j.cej.2025.162962,https://doi.org/10.1016/j.cej.2025.162962,Predictive model for flow distribution in dual-zone packed bed reactors,title/snippet only
2-maldistribution,supporting,2025,Consuelo Reinao,3,A new model for the pressure drop in dual-cell density monoliths: Experimental validation and CFD,Chemical Engineering Journal,516,163599,6,10.1016/j.cej.2025.163599,https://doi.org/10.1016/j.cej.2025.163599,"Pressure drop in dual-cell density monoliths, experiment + CFD",title/snippet only
2-maldistribution,supporting,2024,Ivan Cornejo,1,A new model for pressure drop correction for series-arranged misaligned monoliths,Chemical Engineering Science,299,120515,1,10.1016/j.ces.2024.120515,https://doi.org/10.1016/j.ces.2024.120515,Pressure-drop correction for series-arranged misaligned monoliths,title/snippet only
2-maldistribution,primary,2024,Christian Schwager,5,Flow Distribution in Molten Salt Receiver Panels at High Flux Gradients,SolarPACES Conference Proceedings,2,,0,10.52825/solarpaces.v2i.821,https://doi.org/10.52825/solarpaces.v2i.821,Mass-flow distribution among parallel absorber tubes in molten-salt receiver panels under flux gradients,yes
2-maldistribution,primary,2024,Guillaume Sahuquet,7,Particle Flow Distribution in a Fluidized-Particles Multitube Solar Receiver,SolarPACES Conference Proceedings,1,,0,10.52825/solarpaces.v1i.717,https://doi.org/10.52825/solarpaces.v1i.717,"Two-tube fluidized-particle receiver: inhomogeneous flux vs mass-flow split, isolated at ambient temperature",yes
2-maldistribution,supporting,2024,Daniel Sanchez-Señoran,4,Micro-scaling numerical model coupled with experimental validation of the pressure drop for dense wire mesh,International Journal of Heat and Mass Transfer,223,125263,3,10.1016/j.ijheatmasstransfer.2024.125263,https://doi.org/10.1016/j.ijheatmasstransfer.2024.125263,"Micro-scaling pressure-drop model with experimental validation, dense wire mesh",title/snippet only
